Company Name,Full Description,Description,Founder Name,Founded In,Location,Category,No. of Employees,Company Website,Company Type,Technologies,Business Functions,Business Model,IndiaAI URL
Adiuvo,"Adiuvo Diagnostics is a techno-social enterprise, aimed at developing state-of-the-art platform technologies in...","Adiuvo Diagnostics is a techno-social enterprise, aimed at developing state-of-the-art platform technologies in... | Focus areas: Business Function | Type: SaaS company",Geethanjali Radhakrishnan is the,2015,"Tamil Nadu, India",,10,https://adiuvo.io,SaaS,,Business Function,,https://indiaai.gov.in/startup/adiuvo
WittyParrot,AI and ML powered knowledge automation platform for enterprises to drive sales and support efficiency and effectiveness.,AI and ML powered knowledge automation platform for enterprises to drive sales and support efficiency and effectiveness. | Focus areas: Business Function | Type: SaaS company,,2012,,,100,https://W.ai,SaaS,,Business Function,,https://indiaai.gov.in/startup/wittyparrot
Wastefull Insights,Developed an AI platform driven by sensors that empower spaces to be more sustainable.,Developed an AI platform driven by sensors that empower spaces to be more sustainable. | Focus areas: Business Function | Type: SaaS company,,2019,"Gujarat, India",,50,https://wastefullinsights.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/wastefull-insights
ZScore Technologies Pvt. Ltd,Offers a modern smart data platform to automate data flows and improve data quality.,Offers a modern smart data platform to automate data flows and improve data quality. | Type: SaaS company,,2016,"Karnataka, India",,20,https://ZTPL.com,SaaS,,,,https://indiaai.gov.in/startup/zscore-technologies-pvt-ltd
Actyv.ai,An AI-powered enterprise software-as-a-service (SaaS) platform.,An AI-powered enterprise software-as-a-service (SaaS) platform. | Type: SaaS company,,2019,"Karnataka, India",,100,https://A.io,SaaS,,,,https://indiaai.gov.in/startup/actyv-ai
Ai Nxt,,Focus areas: Business Function | Type: Other company,Anil Singh,2021,"Uttar Pradesh, India",,20,https://ainxt.in,Other,,Business Function,,https://indiaai.gov.in/startup/ai-nxt
Crux Intelligence,"Crux Intelligence provides diagnostic, predictive & prescriptive insights to empower proactive decision making in...","Crux Intelligence provides diagnostic, predictive & prescriptive insights to empower proactive decision making in... | Focus areas: Business Function | Type: Other company",of Crux Intelligence,2016,"Maharashtra, India",,50,https://CI.com,Other,,Business Function,,https://indiaai.gov.in/startup/crux-intelligence
ConverSight.ai,ConverSight is a conversational intelligent platform that uses natural language processing and machine learning to...,ConverSight is a conversational intelligent platform that uses natural language processing and machine learning to... | Focus areas: Business Function | Type: AI/ML company,,2017,,,100,https://C.ai,AI/ML,,Business Function,,https://indiaai.gov.in/startup/conversight-ai
Chemryt Informatics Pvt. Ltd.,"A complete technical solution for the chemical, biotechnology and pharma industry.","A complete technical solution for the chemical, biotechnology and pharma industry. | Type: Healthcare company",Rahul SagajkarCo,2018,"Maharashtra, India",,50,https://CIPL.com,Healthcare,,,,https://indiaai.gov.in/startup/chemryt-informatics-pvt-ltd
ClearQuote Technologies India Pvt Ltd,,Type: Technology company,,2019,,,100,https://CTIPL.com,Technology,,,,https://indiaai.gov.in/startup/clearquote-technologies-india-pvt-ltd
caratRED Technologies LLP,,Type: Technology company,,2016,"Telangana, India",,100,https://cTL.com,Technology,,,,https://indiaai.gov.in/startup/caratred-technologies-llp
Business Brio,,Focus areas: Business Function | Type: Other company,Soma is the co,2013,"West Bengal, India",,50,https://forum.wordreference.com/threads/work-trip-or-business-trip.3501502/,Other,,Business Function,,https://indiaai.gov.in/startup/business-brio
"Empowering business transformation through expertise, innovation, and thought leadership.",,Focus areas: Business Function | Type: Other company,,2020,"West Bengal, India",,150,https://dictionary.cambridge.org/dictionary/english/empowering,Other,,Business Function,,https://indiaai.gov.in/startup/blu-cocoon-digital-private-ltd
Brndaddo,Brndaddo offers a cloud-based marketing asset performance manager.,Brndaddo offers a cloud-based marketing asset performance manager. | Focus areas: Business Function | Type: SaaS company,,2019,"Haryana, India",,50,https://brndaddo.io,SaaS,,Business Function,,https://indiaai.gov.in/startup/brndaddo
Avataar,,"Avataar is a  company founded in 2014, based in Karnataka, India",of Avataar,2014,"Karnataka, India",,300,https://avataar.ai,Other,,,,https://indiaai.gov.in/startup/avataar
Aselector Technologies (OPC) Private Limited,,Focus areas: Business Function | Type: Technology company,,2017,,,50,,Technology,,Business Function,,https://indiaai.gov.in/startup/aselector-technologies-opc-private-limited
Epitome.ai,Personalized career builder platform designed to equip the new-age professional for success.,Personalized career builder platform designed to equip the new-age professional for success. | Focus areas: Business Function | Type: SaaS company,Raghavan is the,2020,"Karnataka, India",,50,https://E.ai,SaaS,,Business Function,,https://indiaai.gov.in/startup/epitome-ai
Achala healthcare Private limited,Offers software development services for established as well as emerging companies across the globe.,Offers software development services for established as well as emerging companies across the globe. | Focus areas: Business Function | Type: Healthcare company,,2009,"Telangana, India",,300,https://AhPl.com,Healthcare,,Business Function,,https://indiaai.gov.in/startup/achala-healthcare-private-limited
vEngage.AI Pte Ltd,vEngageai is a conversational AI company delivering solutions to healthcare providers.,vEngageai is a conversational AI company delivering solutions to healthcare providers. | Type: Healthcare company,,2020,,,20,https://vPL.ai,Healthcare,,,,https://indiaai.gov.in/startup/vengage-ai-pte-ltd
TRUSTGRID.AI Innovations Private Limited,Innovative SME financing solutions with technology.,Innovative SME financing solutions with technology. | Focus areas: Business Function | Type: Technology company,,2021,"Karnataka, India",,20,https://TIPL.com,Technology,,Business Function,,https://indiaai.gov.in/startup/trustgrid-ai-innovations-private-limited
Tripdairy,,Focus areas: Business Function | Type: Other company,,2015,"Karnataka, India",,20,https://tripdairy.com,Other,,Business Function,,https://indiaai.gov.in/startup/tripdairy
ThinkSmart is a growing and dynamic organization with a global vision for providing IT services.,,Focus areas: Business Function | Type: Other company,,2012,"Maharashtra, India",,100,https://www.adda247.com/exams/railway/rrb-alp-cbat-exam-official-mock-test/,Other,,Business Function,,https://indiaai.gov.in/startup/thinksmart-it-solutions-pvt-ltd
Ensuring comprehensive validation of AI systems.,,Focus areas: Business Function | Type: Other company,,2019,"Karnataka, India",,50,https://www.wimbledon.com/index.html?external=true,Other,,Business Function,,https://indiaai.gov.in/startup/testaing-solutions-pvt-ltd-now-aiensured
Tenzai Systems Private Limited,Tenzai is a Purpose-Driven AI company founded by data science leaders with the vision to empower organizations...,Tenzai is a Purpose-Driven AI company founded by data science leaders with the vision to empower organizations... | Focus areas: Business Function | Type: Other company,,2019,,,50,https://TSPL.com,Other,,Business Function,,https://indiaai.gov.in/startup/tenzai-systems-private-limited
An Artificial Intelligence training academy that offers and develops AI trainingÂ programs for everyone.,,"An Artificial Intelligence training academy that offers and develops AI trainingÂ programs for everyone. is a  company founded in 2017, based in Rajasthan, India",,2017,"Rajasthan, India",,20,http://www.unipune.ac.in/,AI/ML,,,,https://indiaai.gov.in/startup/tensax-ai-lab-tensax-ai-academy
Tech-IM Pro Services LLP,,Focus areas: Business Function | Type: Technology company,,2020,"Telangana, India",,20,https://www.techpowerup.com/download/visual-c-redistributable-runtime-package-all-in-one/,Technology,,Business Function,,https://indiaai.gov.in/startup/tech-im-pro-services-llp
TalenTECH Solutions Pvt Ltd (www.hiringplug.com),,Focus areas: Business Function | Type: HR Tech company,,2016,,,50,,HR Tech,,Business Function,,https://indiaai.gov.in/startup/talentech-solutions-pvt-ltd-www-hiringplug-com
TagX,"Data solutions for AI, data analytics and software applications.","Data solutions for AI, data analytics and software applications. | Focus areas: Business Function | Type: Technology company",,2020,,,100,https://tagx.io,Technology,,Business Function,,https://indiaai.gov.in/startup/tagx
SM Learning Skills Academy for Special Needs Pvt. Ltd. PRODUCT NAME - CogniAble,Machine Learning driven remote screening and digital therapy platform for Autism Spectrum Disorder.,Machine Learning driven remote screening and digital therapy platform for Autism Spectrum Disorder. | Type: SaaS company,Dr. Himanshu Khurana,2016,"Haryana, India",,100,https://cogniable.tech/,SaaS,,,,https://indiaai.gov.in/startup/sm-learning-skills-academy-for-special-needs-pvt-ltd-product-name-cogniable
Smartail Private Limited,Smartail an EdTech startup which is focused on bringing in AI powered products and solutions to an industry.,Smartail an EdTech startup which is focused on bringing in AI powered products and solutions to an industry. | Type: EdTech company,,2019,"Tamil Nadu, India",,100,https://SPL.com,EdTech,,,,https://indiaai.gov.in/startup/smartail-private-limited
Skit.ai (vernacular.ai),Skit.ai is the leading voice AI SaaS company.,Skit.ai is the leading voice AI SaaS company. | Focus areas: Business Function | Type: SaaS company,,2016,,,300,https://Sv.ai,SaaS,,Business Function,,https://indiaai.gov.in/startup/skit-ai-vernacular-ai
Sirena Technologies Pvt Ltd,,Type: Technology company,,2014,"Karnataka, India",,100,https://STPL.com,Technology,,,,https://indiaai.gov.in/startup/sirena-technologies-pvt-ltd
Signodrive Technologies Pvt. Ltd.,SIGNO is a rapidly growing SaaS based technology enterprise.,SIGNO is a rapidly growing SaaS based technology enterprise. | Type: SaaS company,,2019,"Uttar Pradesh, India",,50,https://STPL.com,SaaS,,,,https://indiaai.gov.in/startup/signodrive-technologies-pvt-ltd
Silver Consultancy Services Pvt. Ltd.,Silver Consultancy Services (P) Ltd. provides consulting and IT services to its clients as partners to conceptualize...,Silver Consultancy Services (P) Ltd. provides consulting and IT services to its clients as partners to conceptualize... | Technologies: Silver Consultancy Services (P) Ltd. provides consulting and IT services to its clients as partners to conceptualize and realize technology driven business transformation initiatives. With backed by strong experienced people they use a low-risk delivery model to accelerate schedules with a high degree of time and cost predictability. SCSPL provides end-to-end business solutions that leverage technology. They provide solutions for a dynamic environment where business and technology strategies converge. Their approach focuses on new ways of business combining IT innovation and adoption while also leveraging an organization's current IT assets. | Type: Logistics company,,2010,"West Bengal, India",,20,https://SCSPL.co.in,Logistics,Silver Consultancy Services (P) Ltd. provides consulting and IT services to its clients as partners to conceptualize and realize technology driven business transformation initiatives. With backed by strong experienced people they use a low-risk delivery model to accelerate schedules with a high degree of time and cost predictability. SCSPL provides end-to-end business solutions that leverage technology. They provide solutions for a dynamic environment where business and technology strategies converge. Their approach focuses on new ways of business combining IT innovation and adoption while also leveraging an organization's current IT assets.,,,https://indiaai.gov.in/startup/silver-consultancy-services-pvt-ltd
CareerNodes is a platform where users can predict long term career outcomes of any career action. Users can...,CareerNodes is a platform where users can predict long term career outcomes of any career action. Users can...,CareerNodes is a platform where users can predict long term career outcomes of any career action. Users can... | Type: SaaS company,,2019,"Maharashtra, India",,20,https://medium.com/@prdistribution1/careernodes-look-before-you-leap-ef64b60bf948,SaaS,,,,https://indiaai.gov.in/startup/shortestpath-pvt-ltd-now-careernodes
Shoofly.ai (website),,Focus areas: Business Function | Type: Other company,,2015,,,20,https://Sw.com,Other,,Business Function,,https://indiaai.gov.in/startup/shoofly-ai-website
Shaip is a leader and innovator in the structured AI data solutions category.,Shaip is a leader and innovator in the structured AI data solutions category.,Shaip is a leader and innovator in the structured AI data solutions category. | Focus areas: Business Function | Type: Other company,,2018,,,200,https://www.shaip.com/,Other,,Business Function,,https://indiaai.gov.in/startup/shaip-ai-data-india-llp
RMSI CROPALYTICS PVT. LTD.,,Focus areas: Business Function | Type: AgriTech company,,2019,"Uttar Pradesh, India",,100,https://RCPL.com,AgriTech,,Business Function,,https://indiaai.gov.in/startup/rmsi-cropalytics-pvt-ltd
RFPIO,"RFPIO enables responses of all kinds â allowing organizations to unlock their potential, and empowering employees to...","RFPIO enables responses of all kinds â allowing organizations to unlock their potential, and empowering employees to... | Focus areas: Business Function | Type: Other company",,2015,,,300,https://rfpio.com,Other,,Business Function,,https://indiaai.gov.in/startup/rfpio
ReshaMandi,,"ReshaMandi is a  company founded in 2020, based in Karnataka, India",,2020,"Karnataka, India",,500,https://R.ai,Other,,,,https://indiaai.gov.in/startup/reshamandi
R Dot Ventures,R Dot Ventures solve your business challenges and helps to come up with a great solution by combining the power of...,R Dot Ventures solve your business challenges and helps to come up with a great solution by combining the power of... | Focus areas: Business Function | Type: Other company,Rahul Bhargava,2015,"Madhya Pradesh, India",,150,https://rdotventures.com,Other,,Business Function,,https://indiaai.gov.in/startup/r-dot-ventures
Researchfin.ai,Offers beginner-friendly systematic trading platform.,Offers beginner-friendly systematic trading platform. | Type: Fintech company,,2019,,,20,https://R.ai,Fintech,,,,https://indiaai.gov.in/startup/researchfin-ai
Quidich Innovation Labs,"Empower live sports broadcast with immersive viewer experiences using special cameras, AR, AI and ML.","Empower live sports broadcast with immersive viewer experiences using special cameras, AR, AI and ML. | Type: Other company",Rahat co,2013,"Maharashtra, India",,100,https://QIL.ai,Other,,,,https://indiaai.gov.in/startup/quidich-innovation-labs
Providentia Labs Pvt. Ltd. (now Talkingtown),,"Providentia Labs Pvt. Ltd. (now Talkingtown) is a  company founded in 2021, based in Karnataka, India",,2021,"Karnataka, India",,20,https://www.ac-illust.com/main/search_result.php?word=てるてる坊主,Other,,,,https://indiaai.gov.in/startup/providentia-labs-pvt-ltd-now-talkingtown
PrepAI,,"PrepAI is a  company founded in 2017, based in Telangana, India",,2017,"Telangana, India",,20,https://prepai.io,Other,,,,https://indiaai.gov.in/startup/prepai
Plotch.ai,,Focus areas: Business Function | Type: Other company,,2020,"Maharashtra, India",,20,https://P.ai,Other,,Business Function,,https://indiaai.gov.in/startup/plotch-ai
Playment,,Focus areas: Business Function | Type: Other company,Ajinkya Malasane,2005,,,350,https://playment.com,Other,,Business Function,,https://indiaai.gov.in/startup/playment
Comprehensive manuscript checker for language and technical compliance issues prior to manuscript submission.,,Type: LegalTech company,,2020,"Maharashtra, India",,1800,https://www.progressive.com/auto/insurance-coverages/comprehensive/,LegalTech,,,,https://indiaai.gov.in/startup/paperpal-a-cactus-communication-entity
ORAI-Robotics,ORAI is an advanced conversational AI platform that engages customers and offers actionable insights to businesses to...,ORAI is an advanced conversational AI platform that engages customers and offers actionable insights to businesses to... | Focus areas: Business Function | Type: SaaS company,,2020,"Karnataka, India",,200,https://orai-robotics.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/orai-robotics
Optimum Data Analytics Pvt. Ltd.,"Strategic technology partner to its clients delivering reliable, innovative turnkey AI solutions.","Strategic technology partner to its clients delivering reliable, innovative turnkey AI solutions. | Focus areas: Business Function | Type: Technology company",,2017,"Maharashtra, India",,50,https://ODAPL.com,Technology,,Business Function,,https://indiaai.gov.in/startup/optimum-data-analytics-pvt-ltd
Nobis Labs Inc,"Maximize value across the commodities landscape through the power of machine learning, AI and data science","Maximize value across the commodities landscape through the power of machine learning, AI and data science | Type: AI/ML company",,2021,"Maharashtra, India",,50,https://inc.nobis.com/,AI/ML,,,,https://indiaai.gov.in/startup/nobis-labs-inc
NimbleBox.ai,NimbleBox is the all-in-one tool for ML teams. This platform is purpose-built for large datasets and supports all major...,NimbleBox is the all-in-one tool for ML teams. This platform is purpose-built for large datasets and supports all major... | Focus areas: Business Function | Type: SaaS company,Anshuman is the,2018,"Tamil Nadu, India",,50,https://www.nimblebox.ai/,SaaS,,Business Function,,https://indiaai.gov.in/startup/nimblebox-ai
NeuralSpace,"The no-code SaaS platform includes features like voice transcription, natural voice generation, entity recognition,...","The no-code SaaS platform includes features like voice transcription, natural voice generation, entity recognition,... | Type: SaaS company",,2019,,,50,https://neuralspace.com,SaaS,,,,https://indiaai.gov.in/startup/neuralspace
MoneyMasterz,Comprehensive wealth management company with a diverse team working in all aspects ofÂ financial well-being.,"Comprehensive wealth management company with a diverse team working in all aspects ofÂ financial well-being. | Technologies: MoneyMasterz is a comprehensive wealth management company with a diverse team working in all aspects of financial well-being. In the last seven years, they helped 8000+ clients with wealth management in 5+ countries. As a one-stop solution for all financial worries, their teamâs goal is to deliver an unsurpassed and customized experience based on clientâs needs. Money Masterz provides the right tools | Focus areas: Business Function | Type: Fintech company",Sandeep is the,2020,"Uttar Pradesh, India",,50,https://moneymasterz.in,Fintech,"MoneyMasterz is a comprehensive wealth management company with a diverse team working in all aspects of financial well-being. In the last seven years, they helped 8000+ clients with wealth management in 5+ countries. As a one-stop solution for all financial worries, their teamâs goal is to deliver an unsurpassed and customized experience based on clientâs needs. Money Masterz provides the right tools, insight, expertise, and technology for structured wealth management.",Business Function,,https://indiaai.gov.in/startup/moneymasterz
Minus Zero,,"Minus Zero is a  company founded in 2020, based in Karnataka, India",,2020,"Karnataka, India",,50,https://minuszero.ai,Other,,,,https://indiaai.gov.in/startup/minus-zero
"Mara Labs, Inc (Locus.sh)",Locus is a technology based company dedicated to solving the most challenging last-mile problems in global logistics.,"Locus is a technology based company dedicated to solving the most challenging last-mile problems in global logistics. | Technologies: Blazing ahead with new proprietary technology Locus, operated by Mara Labs Inc., uses proprietary algorithms and deep learning to optimise supply chains with real-time tracking | Focus areas: Business Function | Type: Logistics company",,2015,,,300,https://MLIL.com,Logistics,"Blazing ahead with new proprietary technology Locus, operated by Mara Labs Inc., uses proprietary algorithms and deep learning to optimise supply chains with real-time tracking, insights and analytics, dynamic sales journey plans, efficient warehouse management, and vehicle allocation and utilisation. ICRA Research has forecast the domestic logistics sector to grow at eight to 10 percent over the medium term with the outlook remaining largely stable. Strategic supply chain decision making is becoming more dynamic, as the industry landscape shifts towards digitisation. For sustained value and organisation growth, these decisions should be driven by insights and visualisations of existing data. Aided by a renowned and world-class data science team, Locus Consulting brings in technology, insights and supply chain expertise to drive innovative and contextual solutions.",Business Function,,https://indiaai.gov.in/startup/mara-labs-inc-locus-sh
Kutumba,,"Kutumba is a  company founded in 2020, based in Karnataka, India",,2020,"Karnataka, India",,20,https://kutumba.in,Other,,,,https://indiaai.gov.in/startup/kutumba
Learning Matters,Learning Matters is an educational technology company that offers voice-based education services with AI.,"Learning Matters is an educational technology company that offers voice-based education services with AI. | Technologies: The ability to communicate fluently in English unlocks academic & career opportunities and has the power to change lives. Alarmingly, about 250 million students in private affordable schools in India have little or no access to teachers who are proficient in English. This leads to a sad spiral of poor comprehension, weak foundational concepts | Type: EdTech company",Learning Matters is,2016,"Karnataka, India",,100,https://learningmatters.com,EdTech,"The ability to communicate fluently in English unlocks academic & career opportunities and has the power to change lives. Alarmingly, about 250 million students in private affordable schools in India have little or no access to teachers who are proficient in English. This leads to a sad spiral of poor comprehension, weak foundational concepts, low grades, dropouts, and a vicious cycle of unrealised potential and economic crises (at the family, societal, and national levels). There is no turning back from here. The scalable and sustainable solution retains the teacher at the core of the interventions and provides pedagogically-based communicative English proficiency programmes that are engaging, accessible and affordable. This is exactly what learning matters does. Tara has proved that voice technology combined with pedagogically-strong curriculum can indeed work wonders to improve English proficiency in both teachers and students.",,,https://indiaai.gov.in/startup/learning-matters
KoiReader Technologies Private Limited,"KoiReader is an emerging technologies firm that enables hyperautomation through their proprietary platform, enterprise...","KoiReader is an emerging technologies firm that enables hyperautomation through their proprietary platform, enterprise... | Focus areas: Business Function | Type: SaaS company",,2019,,,100,https://KTPL.com,SaaS,,Business Function,,https://indiaai.gov.in/startup/koireader-technologies-private-limited
Knowlexon,An information technology and consulting company with expertise in artificial intelligence and data science.,An information technology and consulting company with expertise in artificial intelligence and data science. | Type: AI/ML company,,2017,"Karnataka, India",,50,https://knowlexon.com,AI/ML,,,,https://indiaai.gov.in/startup/knowlexon
Kanverse.ai,,Focus areas: Business Function | Type: Other company,,2020,,,50,https://K.ai,Other,,Business Function,,https://indiaai.gov.in/startup/kanverse-ai
JumpStartNinja Technologies LLP,Boutique company of data scientists & data engineers providing data science & data analytics based solutions to clients...,Boutique company of data scientists & data engineers providing data science & data analytics based solutions to clients... | Focus areas: Business Function | Type: Technology company,Job function,2014,"Tamil Nadu, India",,50,https://JTL.in,Technology,,Business Function,,https://indiaai.gov.in/startup/jumpstartninja-technologies-llp
Jangra's Corporation is a future technology multi-national company build technology for everyone to develop easyÂ life...,,Focus areas: Business Function | Type: Technology company,,2014,"Haryana, India",,50,https://www.adda247.com/exams/railway/rrb-alp-cbat-exam-official-mock-test/,Technology,,Business Function,,https://indiaai.gov.in/startup/jangras-internet-and-digital-financial-payment-services-private-limited
Intelligent Industrial Internet Systems Pvt. Ltd. (i3systems),i3systems is a artificial intelligence and intelligent automation company that provides products for deep automation of...,i3systems is a artificial intelligence and intelligent automation company that provides products for deep automation of... | Focus areas: Business Function | Type: AI/ML company,,2016,"Maharashtra, India",,100,,AI/ML,,Business Function,,https://indiaai.gov.in/startup/intelligent-industrial-internet-systems-pvt-ltd-i3systems
HIREX.AI PRIVATE LIMITED,Hirex.ai is a no-code AI platform to build voice-based bots that conduct and score level one interviews at scale,Hirex.ai is a no-code AI platform to build voice-based bots that conduct and score level one interviews at scale | Focus areas: Business Function | Type: SaaS company,,2019,"Telangana, India",,50,https://hodanren.doc-net.or.jp/info/news/2025-05-09/,SaaS,,Business Function,,https://indiaai.gov.in/startup/hirex-ai-private-limited
Indika AI Private Limited,"End-to-end data solutions bringing data, domain, AI, and security experts together to acquire, anonymize, prepare,...","End-to-end data solutions bringing data, domain, AI, and security experts together to acquire, anonymize, prepare,... | Focus areas: Business Function | Type: Cybersecurity company",,2021,"Maharashtra, India",,100,,Cybersecurity,,Business Function,,https://indiaai.gov.in/startup/indika-ai-private-limited
GeneBloc.ai,"Offers clinical gradeÂ next generation DNA sequencing products, platforms and services.","Offers clinical gradeÂ next generation DNA sequencing products, platforms and services. | Type: SaaS company",Ronald David,2018,"Karnataka, India",,20,https://www.collegedisha.com/courses/genetics-course-after-12th,SaaS,,,,https://indiaai.gov.in/startup/genebloc-ai
HealthPlix Technologies Pvt Ltd,HealthPlix has pioneered the digitization of healthcare through its future-ready AI-powered EMR platform for doctors...,HealthPlix has pioneered the digitization of healthcare through its future-ready AI-powered EMR platform for doctors... | Type: SaaS company,,2014,"Karnataka, India",,400,https://HTPL.in,SaaS,,,,https://indiaai.gov.in/startup/healthplix-technologies-pvt-ltd
Geek Bots Private Limited,A travel company that is regarded as the one-stop solution for all the travel needs.,A travel company that is regarded as the one-stop solution for all the travel needs. | Type: Travel company,Saurabh Kumar,2018,"Maharashtra, India",,20,https://GBPL.com,Travel,,,,https://indiaai.gov.in/startup/geek-bots-private-limited
Feeding Trends,A social blogging platform of passionate people.,A social blogging platform of passionate people | Type: SaaS company,,2018,"Uttar Pradesh, India",,50,https://feedingtrends.com,SaaS,,,,https://indiaai.gov.in/startup/feeding-trends
Extractful.AI (Legally registered as Elseq Technologies Pvt. Ltd),,Focus areas: Business Function | Type: Technology company,,2014,"Karnataka, India",,20,https://forum.wordreference.com/threads/pissed.770284/,Technology,,Business Function,,https://indiaai.gov.in/startup/extractful-ai-legally-registered-as-elseq-technologies-pvt-ltd
Farmket Private Limited,,"Farmket Private Limited is a  company founded in 2019, based in Uttar Pradesh, India",,2019,"Uttar Pradesh, India",,20,https://FPL.com,Other,,,,https://indiaai.gov.in/startup/farmket-private-limited
eSkinDoctor Health Tech Pvt Ltd,,Type: Healthcare company,,2020,"Maharashtra, India",,50,https://tracxn.com/d/companies/eskindoctor/__X9e5O9u_7T8lyINguSUPWmK27WBiUJ0hYTu7KbS4xag/founders-and-board-of-directors,Healthcare,,,,https://indiaai.gov.in/startup/eskindoctor-health-tech-pvt-ltd
Entity Technologies (Now Engati),Engati is a leading customer experience platform powered by conversational automation & intelligence.,Engati is a leading customer experience platform powered by conversational automation & intelligence. | Focus areas: Business Function | Type: SaaS company,,2016,,,250,https://www.adda247.com/exams/railway/rrb-alp-cbat-exam-official-mock-test/,SaaS,,Business Function,,https://indiaai.gov.in/startup/entity-technologies-now-engati
Enixta Innovations Private Limited,,Focus areas: Business Function | Type: Other company,,2014,"Telangana, India",,50,https://EIPL.in,Other,,Business Function,,https://indiaai.gov.in/startup/enixta-innovations-private-limited
EasyLogics,,Focus areas: Business Function | Type: Other company,,2021,"Karnataka, India",,20,https://easylogics.in,Other,,Business Function,,https://indiaai.gov.in/startup/easylogics
Solving problems of dairy farmers by deploying new-age technologies and providing access to financial services.,,Type: Fintech company,,2008,"Tamil Nadu, India",,100,https://www.adda247.com/exams/railway/rrb-alp-cbat-exam-official-mock-test/,Fintech,,,,https://indiaai.gov.in/startup/dvara-e-dairy-solutions-private-limited
Doubt Buddy,"Doubt buddy is the multi way doubt resolution app, where students can clarify their doubt.","Doubt buddy is the multi way doubt resolution app, where students can clarify their doubt. | Type: Other company",,2020,"Haryana, India",,50,https://doubtbuddy.com,Other,,,,https://indiaai.gov.in/startup/doubt-buddy
Dilaton Technologies Private Ltd,,Type: Technology company,,2019,"Haryana, India",,50,https://DTPL.com,Technology,,,,https://indiaai.gov.in/startup/dilaton-technologies-private-ltd
Dhiyo.ai,India's multilingual conversational AI platform to employ the next billion users.,India's multilingual conversational AI platform to employ the next billion users. | Focus areas: Business Function | Type: SaaS company,Santhosh SS,2018,"Karnataka, India",,50,https://D.io,SaaS,,Business Function,,https://indiaai.gov.in/startup/dhiyo-ai
DcodeAI Private Limited (MethdAI),,"DcodeAI Private Limited (MethdAI) is a  company founded in 2020, based in Uttar Pradesh, India",,2020,"Uttar Pradesh, India",,50,https://play.google.com/store/apps/details?id=com.dcodeai.ai&hl=en-US,Other,,,,https://indiaai.gov.in/startup/dcodeai-private-limited-methdai
Cynapto Technologies Pvt Ltd,"No code computer vision platform for anyone, anywhere.","No code computer vision platform for anyone, anywhere. | Focus areas: Business Function | Type: SaaS company",,2016,"Maharashtra, India",,50,https://CTPL.ai,SaaS,,Business Function,,https://indiaai.gov.in/startup/cynapto-technologies-pvt-ltd
CYBOT-X technologies,CYBOT-X Technologies is a cyber security company creating secured business environment with advanced technology...,CYBOT-X Technologies is a cyber security company creating secured business environment with advanced technology... | Focus areas: Business Function | Type: Cybersecurity company,Akash is the,2019,"Maharashtra, India",,20,https://newpornsearch.com/videos/indian-village-couple,Cybersecurity,,Business Function,,https://indiaai.gov.in/startup/cybot-x-technologies
CogniTensor Technology Private Limited,,Technologies: Private Limited | Focus areas: Business Function | Type: Technology company,,2018,"Uttar Pradesh, India",,50,https://CTPL.ai,Technology,Private Limited,Business Function,,https://indiaai.gov.in/startup/cognitensor-technology-private-limited
3SC,,"3SC is a  company founded in 2012, based in Maharashtra, India",Lalit is the,2012,"Maharashtra, India",,200,https://3.ai,Other,,,,https://indiaai.gov.in/startup/3sc
Learning Matters Pvt. Ltd.,,Learning Matters Pvt. Ltd. is a  company founded in 2016,Saraswathy Ramamoorthy,2016,,,24,https://LMPL.com,Other,,,,https://indiaai.gov.in/startup/learning-matters-pvt-ltd
Coding and More,"Our all-woman team is on a mission to help children think, create, and innovate.","Our all-woman team is on a mission to help children think, create, and innovate. | Technologies: Clinical decision-making requires technology-driven tools like CDSS to augment professionals, improve outcomes, and streamline care. | Type: Healthcare company",,,"Maharashtra, India",,15,https://CaM.com,Healthcare,"Clinical decision-making requires technology-driven tools like CDSS to augment professionals, improve outcomes, and streamline care.",,,https://indiaai.gov.in/startup/coding-and-more
Floatbot,Floatbot is a SaaS based Conversational AI platform,Floatbot is a SaaS based Conversational AI platform | Type: SaaS company,of Floatbot,2017,,,49,https://floatbot.ai,SaaS,,,,https://indiaai.gov.in/startup/floatbot
Skin Beauty Pal,An AI That Cares For Your Skin Skin Beauty App | Get Consultation with Top Dermatologist,An AI That Cares For Your Skin Skin Beauty App | Get Consultation with Top Dermatologist | Type: Other company,Grant Kuo,,,,10,https://skinbeautypal.com,Other,,,,https://indiaai.gov.in/startup/skin-beauty-pal
Stellapps Technologies,,Technologies: Pioneers 2020 | Type: Technology company,Ranjith Mukundan,2016,"Karnataka, India",,580,https://ST.ai,Technology,Pioneers 2020,,,https://indiaai.gov.in/startup/stellapps-technologies
Spotle.ai,AI powered dynamic and agile platform for students to match their life goals,AI powered dynamic and agile platform for students to match their life goals | Type: SaaS company,at Unmarketeer,2016,"Maharashtra, India",,21,https://S.ai,SaaS,,,,https://indiaai.gov.in/startup/spotle-ai
BlinkEyeLabs,,"BlinkEyeLabs is a  company founded in 2017, based in Karnataka, India",,2017,"Karnataka, India",,3,https://B.io,Other,,,,https://indiaai.gov.in/startup/blinkeyelabs
